Name	Set	ImageFile	Element	Hitpoints	Powerlevel	Subtypes	Supertypes	Cost	Rarity	Description
Cresting Wave Kick BS 228	BS	BS-228.png	Light/Water	N/A	N/A	Hyper Rank Physical Attack	Skill	3	Common	Hit all reachable opponents for PLVx2 Basic Damage unless another player pays 3 TP. If they do, this Attack hits target reachable opponent for PLV Basic Damage instead.
Dendrotoxic Spines BS 229	BS	BS-229.png	Nature	N/A	N/A	Hyper Rank Curse Physical Attack	Skill	5	Rare	Hit target reachable opponent for PLV+X Unblockable Damage, where X is the number of Poison Counters on all Players and Characters.
Double Magnum BS 230	BS	BS-230.png	Metal/Fire	N/A	N/A	Hyper Rank Projectile Attack	Skill	3	Common	Hit target reachable opponent Character for 10 Basic Damage or two target reachable opponent Characters for 5 Basic Damage.
Drowning Tsunami BS 231	BS	BS-231.png	Water	N/A	N/A	Ultra Rank Resource Energy Attack	Skill	7	Rare	Hit all reachable opponents for 2xX Unblockable Damage, where X is equal to the number of cards in all Players' Hands.
Dynamo Discharge BS 232	BS	BS-232.png	Storm	N/A	N/A	Ultra Rank Resource Energy Attack	Skill	6	Rare	Hit up to 2 target reachable opponents for X Basic Damage, where X is equal to the number of Power Counters on all Players and cards.
Exploit Weakness BS 233	BS	BS-233.png	Dark	N/A	N/A	Ultra Rank Combo Curse Physical Attack	Skill	5	Super Rare	Hit target opponent for PLV Basic Damage. If your target has any Blindness, Drain, Fracture, Paralyze, and/or Poison Counters on it, double the number of each of those Counters on them.
Fungal Spores BS 234	BS	BS-234.png	Nature	N/A	N/A	Special Rank Debuff	Skill	3	Common	Each opponent Character gains Poison 2. (Put that many of these Counters on your targets. During your Starting Phase, remove each of these Counters from it then put that many Damage Counters on it.)
Galaxy Ray BS 235	BS	BS-235.png	Space	N/A	N/A	Hyper Rank Rift Energy Attack	Skill	4	Rare	Overdrive- Imprison the top 4 cards of your Deck. (When this card enters, you may pay this cost to activate this target's Overdrive abilities.);Hit target opponent for PLVx2 Basic Damage.;Overdrive: This Attack deals True Damage instead.
Gathering Power BS 236	BS	BS-236.png	Space/Storm	N/A	N/A	Hyper Rank Search Resource	Skill	4	Rare	Search your Deck for up to 4 Energy Skill or Reaction cards then reveal them, shuffle your Deck, and put those cards on top of your Deck in any order.
Genesis Mode BS 237	BS	BS-237.png	Null	N/A	N/A	Legendary Rank Buff	Skill	10	Ultra Rare	This card can only be used by Players.;The user enters The Last Stand, gets +5 PLV, and has Multistrike 2 until your next Starting Phase. (This target's Normal Rank Attacks Hit up to 2 extra targets.)
Grit of the Wild BS 238	BS	BS-238.png	Nature	N/A	N/A	Special Rank Burn	Skill	2	Uncommon	Each opponent Player discards a card from their Hand. If the user is Nature-type, each opponent Player reveals their Hand to you then discards a card of your choice.
Holy Brand BS 239	BS	BS-239.png	Light/Fire	N/A	N/A	Special Rank Recovery	Skill	2	Common	Target Character heals for 5 HP and gains Drain 2. (Put that many of these Counters on your targets. It has -1 PLV for each of these Counters on it.)
Infernal Blast BS 240	BS	BS-240.png	Fire	N/A	N/A	Special Rank Combo Energy Attack	Skill	3	Uncommon	Hit target reachable opponent for PLV Basic Damage. If the user is a Fire-type Character, you may reveal a Fire-type Skill or Reaction from your Hand or Discard Pile except for cards named Infernal Blast and attach it to them.
Ion Discharge BS 241	BS	BS-241.png	Storm	N/A	N/A	Ultra Rank Resource Energy Attack	Skill	0	Rare	Put X Power Counters on the user, where X is equal to your TP.;Hit all reachable opponents for Basic Damage equal to the number of Power Counters on the user.;Your TP becomes 0.
Ironblood Screech BS 242	BS	BS-242.png	Dark/Metal	N/A	N/A	Hyper Rank Curse Attack	Skill	4	Rare	Hit all reachable opponents for PLV+4 Unblockable Damage. They gain Paralyze 1. (Put that many of these Counters on your targets. During your Starting Phase, remove 1 of these Counters from it. It cannot activate its abilities or Attack this round.)
Kelvin Shock BS 243	BS	BS-243.png	Water	N/A	N/A	Special Rank Combo Debuff	Skill	2	Uncommon	Target reachable opponent Character gains Paralyze 1. If the user is Water-type, that target gains Paralyze 1. (Put that many of these Counters on your targets. During your Starting Phase, remove 1 of these Counters from it. It cannot activate its abilities or Attack this round.)
Light Barrier BS 244	BS	BS-244.png	Light	N/A	N/A	Hyper Rank Recovery Buff	Skill	3	Common	The user heals for 5 HP and gains Shield 1 and Barrier 1.
Mach 10 BS 245	BS	BS-245.png	Time	N/A	N/A	Devastation Rank Combo Physical Attack	Skill	2	Super Rare	This card can only be used by Characters.;Replay- 2 TP (You may pay this cost to activate this target again before it's destroyed.);When this card is activated, you may put any number of Damage Counters on the user.;Hit target reachable opponent for X Basic Damage, where X is the number of Damage Counters on the user.
Mimic Attack BS 246	BS	BS-246.png	Null	N/A	N/A	Ultra Rank Combo	Skill	0	Rare	Mythical (Only one copy of this card can exist under your control.);You may search all Discard Piles for a Skill and activate it as though it was attached to you or a Character you control by paying its TP cost. If you do, it's Null-type instead.
Mud Spike BS 247	BS	BS-247.png	Earth	N/A	N/A	Hyper Rank Destruction Physical Attack	Skill	3	Uncommon	Hit target reachable opponent for 8 Basic Damage. If the user is Earth-type, destroy a card attached to each target.
Photosynthesis Shot BS 248	BS	BS-248.png	Light	N/A	N/A	Special Rank Recovery Energy Attack	Skill	2	Uncommon	Hit target reachable opponent for PLV+2 Basic Damage. If the user is Light-type, target Player or Character heals for 2 HP.
Puncture Shot BS 249	BS	BS-249.png	Metal	N/A	N/A	Hyper Rank Debuff Physical Attack	Skill	4	Common	Hit target reachable opponent for PLV+5 Basic Damage. If successful, they have Concussion until end of turn. (If this target gains Damage Counters, it's Knocked Out.)
Regrowth BS 250	BS	BS-250.png	Nature	N/A	N/A	Special Rank Recovery Search	Skill	1	Common	Search your Discard Pile for a nonCharacter card, reveal it, then put that card on top of your Deck.
Rising Dragon Fist BS 251	BS	BS-251.png	Storm/Fire	N/A	N/A	Hyper Rank Combo Physical Attack	Skill	3	Uncommon	You may reveal any number of Fire-type or Storm-type cards from your Hand then hit target reachable opponent for 3xX Unblockable Damage, where X is the number of cards revealed this way.
Sands of Time BS 252	BS	BS-252.png	Time/Earth	N/A	N/A	Hyper Rank Recovery Attack	Skill	3	Common	Hit target reachable opponent for 4 Unblockable Damage.;Paradox- Gain 3 TP. (If you control Characters that have at least one of each of this target's elements, its Paradox is active.)
Sigil of Drought BS 253	BS	BS-253.png	Water/Fire	N/A	N/A	Hyper Rank Debuff Attack	Skill	3	Common	Hit target opponent Player for PLV Basic Damage. Each target dealt Damage can't draw more than 1 card each turn until your next Starting Phase.
Spacial Relocation BS 254	BS	BS-254.png	Space/Water	N/A	N/A	Special Rank Search Draw	Skill	2	Uncommon	Look at the top 4 cards of your Deck. Put 1 of those cards in your Hand and the rest of those cards on the bottom of your Deck in any order.
Temporal Fracture BS 255	BS	BS-255.png	Time	N/A	N/A	Normal Rank Recovery Attack	Skill	0	Common	Hit target reachable opponent for 1 Basic Damage. If the user is Time-type, gain 1 TP.
Thundersmite BS 256	BS	BS-256.png	Storm	N/A	N/A	Special Rank Energy Attack	Skill	3	Common	Hit target opponent for PLV True Damage.
Titanite Sledge BS 257	BS	BS-257.png	Metal	N/A	N/A	Special Rank Physical Attack	Skill	3	Common	Hit target reachable opponent for PLV+2 Basic Damage. If the user is Metal-type, this Attack deals Unblockable Damage instead.
UV Blast BS 258	BS	BS-258.png	Light	N/A	N/A	Normal Rank Curse Energy Attack	Skill	1	Common	Hit target reachable opponent for PLV Basic Damage. Each target dealt Damage this way gains Blindness 2. (Put that many of these Counters on your targets. Whenever it Attacks, flip a coin. If Tails, that Attack does nothing. During your End Phase, remove 1 of these Counters from it.)
Variable Charge BS 259	BS	BS-259.png	Nature/Storm	N/A	N/A	Ultra Rank Chance Resource	Skill	5	Super Rare	Roll 1d20:; - 1-2: Put 1 Power Counter on target card.; - 3-9: Put 3 Power Counters on target card.; - 10-18: Put 6 Power Counters on target card.; - 19-20: Put X Power Counters on target card, where X is the result.
Void Axe BS 260	BS	BS-260.png	Space/Metal	N/A	N/A	Ultra Rank Rift Combo Physical Attack	Skill	5	Rare	Imprison up to 5 cards from the top of your Deck then hit target reachable opponent for PLV+3xX Basic Damage, where X is the number of cards imprisoned this way.
Weapon Drive BS 261	BS	BS-261.png	Metal	N/A	N/A	Hyper Rank Combo Equipment Physical Attack	Skill	4	Uncommon	Hit target reachable opponent for PLV Basic Damage X times, where X is equal to the number of cards with Equip attached to the user.
Wish of Death BS 262	BS	BS-262.png	Space	N/A	N/A	Hyper Rank Attack	Skill	3	Uncommon	Reveal the top card of your Deck then hit target reachable opponent for True Damage equal to the revealed card's TP.
Weapon Factory BS 263	BS	BS-263.png	Metal	N/A	N/A	Ultra Rank Equipment Enhancement	Zone	6	Common	Cards with Arm Up are considered Armed Up.
Kyle Rage, Demonic Overlord BS 264	BS	BS-264.png	Dark/Fire	20	6	Overlord Celestial Demon	Character	7	Omega Rare	Mythical, Mastery of Darkness-typeFire-type (Only one copy of this card can exist under your control. This target's Damage with Attacks that have at least 1 of the listed elements is doubled.);If this card would gain Damage from Darkness-type or Fire-type Attacks, it heals for HP equal to that Damage instead.;Whenever this card perfroms a Normal Rank Attack, each target dealt Damage by that Attack gains Concussion until your next Starting Phase.
Lyle Rage, Original Legend BS 265	BS	BS-265.png	Space/Time	30	4	Overlord Celestial Avatar	Character	9	Omega Rare	Mythical, Charge X, where X is equal to the number of cards you control with Power Counters on them. (Only one copy of this card can exist under your control. During your Starting Phase, gain X TP.);You can store an extra X TP, where X is equal to the number of cards you control with Power Counters on them.
Ranulf Starigan, Talthrim Hero BS 266	BS	BS-266.png	Light/Nature	20	5	Overlord Musician	Character	8	Omega Rare	Mythical, Multistrike 3 (Only one copy of this card can exist under your control. This target's Normal Rank Attacks Hit up to 3 extra targets.);Whenever an activated or triggered ability you control performs a coin flip or dice roll, you may attempt that coin flip or dice roll again, keeping either result.
Xavior Leo, Existence Purger BS 267	BS	BS-267.png	Null	35	3	Overlord Machine Fighter	Character	9	Omega Rare	Mythical, Immune to nonDamage Counters (Only one copy of this card can exist under your control. This target cannot be targeted or affected by the listed card types, keywords, Counters, or abilities.);Infused with Null-type (This target and all Attacks it performs are the listed elements instead.);Cards except for this card have Void. (If this target would be destroyed, imprison it instead.)
